L	b2	b4	b8	b16	b32	u2	u4	u8	u16	u32
101.0	2505.810367189888	3350.2506356672634	4095.5707148267243	4701.433374251661	5105.585577554588	2713.072001521315	3640.7006160625106	4369.066652206939	5041.2307692307695	5577.531914893617
102.0	2503.808399021583	3347.8862680447287	4093.6010035369923	4699.5289587471025	5103.877738975224	2712.898364913218	3640.698752023795	4369.066652063773	5041.2307692307695	5577.531914893617
103.0	2501.8096053113563	3345.528447335276	4091.6380638279693	4697.6347704414375	5102.184178466065	2712.7247394178635	3640.696887986034	4369.066651920608	5041.2307692307695	5577.531914893617
104.0	2499.813980795498	3343.177153294112	4089.681867763668	4695.750736317013	5100.5047118966595	2712.551125034541	3640.6950239492276	4369.066651777442	5041.2307692307695	5577.531914893617
105.0	2497.8215202190454	3340.83236573977	4087.732387527182	4693.876783919596	5098.839157938194	2712.377521762539	3640.693159913376	4369.066651634276	5041.2307692307695	5577.531914893617
106.0	2495.832218335764	3338.49406455391	4085.7895954201717	4692.012841353917	5097.187338017776	2712.2039296011462	3640.6912958784783	4369.066651491111	5041.2307692307695	5577.531914893617
107.0	2493.846069908139	3336.1622296811197	4083.8534638623664	4690.158837279258	5095.549076273504	2712.030348549652	3640.6894318445347	4369.0666513479455	5041.2307692307695	5577.531914893617
108.0	2491.863069707352	3333.836841128721	4081.923965391042	4688.314700905081	5093.924199510285	2711.856778607345	3640.6875678115457	4369.066651204779	5041.2307692307695	5577.531914893617
109.0	2489.8832125132762	3331.5178789665706	4080.0010726605274	4686.4803619866825	5092.312537156393	2711.6832197735143	3640.685703779511	4369.066651061614	5041.2307692307695	5577.531914893617
110.0	2487.906493114454	3329.2053233268666	4078.0847584416993	4684.655750820883	5090.713921220755	2711.509672047449	3640.683839748431	4369.066650918448	5041.2307692307695	5577.531914893617
111.0	2485.9329063080872	3326.899154403949	4076.174995621486	4682.840798241756	5089.12818625097	2711.336135428438	3640.6819757183057	4369.066650775282	5041.2307692307695	5577.531914893617
112.0	2483.962446900021	3324.599352454111	4074.271757202363	4681.035435616384	5087.6060316728335	2711.1626099157706	3640.680111689134	4369.066650632117	5041.2307692307695	5461.333333333333
113.0	2481.995109704731	3322.3058977953992	4072.3750163018644	4679.239594840665	5086.337010750218	2710.989095508736	3640.678247660917	4369.066650488951	5041.2307692307695	5461.333333333333
114.0	2480.0308895453068	3320.018770807425	4070.484746152085	4677.453208335116	5085.074941719764	2710.815592206624	3640.6763836336545	4369.066650345786	5041.2307692307695	5461.333333333333
115.0	2478.069781253438	3317.737951931168	4068.6009200991884	4675.676209040761	5083.819770937174	2710.6421000087225	3640.674519607346	4369.06665020262	5041.2307692307695	5461.333333333333
116.0	2476.1117796694025	3315.4634216687864	4066.7235116029224	4673.908530415003	5082.571445223509	2710.468618914322	3640.6726555819923	4369.066650059454	5041.2307692307695	5461.333333333333
117.0	2474.1568796420493	3313.195160583424	4064.852494236128	4672.1501064275635	5081.3299118609575	2710.2951489227116	3640.6707915575926	4369.066649916289	5041.2307692307695	5461.333333333333
118.0	2472.2050760287843	3310.93314929902	4062.987841684258	4670.4008715564305	5080.095118588653	2710.1216900331806	3640.6689275341473	4369.066649773124	5041.2307692307695	5461.333333333333
119.0	2470.2563636955597	3308.677368500118	4061.129527744888	4668.660760783856	5078.867013598532	2709.9482422450187	3640.667063511657	4369.066649629957	5041.2307692307695	5461.333333333333
120.0	2468.3107375168547	3306.427798931677	4059.2775263272424	4666.929709592375	5077.645545531213	2709.7748055575153	3640.6651994901204	4369.066649486792	5041.2307692307695	5461.333333333333
121.0	2466.3681923756644	3304.1844213988816	4057.431811451711	4665.207653960863	5076.430663471938	2709.60137996996	3640.6633354695387	4369.0666493436265	5041.2307692307695	5461.333333333333
122.0	2464.4287231634867	3301.9472167669533	4055.592357249374	4663.494530360616	5075.222316946531	2709.427965481642	3640.661471449911	4369.066649200461	5041.2307692307695	5461.333333333333
123.0	2462.4923247803044	3299.7161659609624	4053.7591379615274	4661.790275751474	5074.020455917408	2709.2545620918513	3640.659607431238	4369.066649057295	5041.2307692307695	5461.333333333333
124.0	2460.558992134574	3297.491249965642	4051.9321279392107	4660.0948275779565	5072.825030779616	2709.0811697998774	3640.657743413519	4369.0666489141295	5041.2307692307695	5461.333333333333
125.0	2458.6287201432115	3295.2724498251973	4050.111301642735	4658.408123765455	5071.635992356908	2708.9077886050104	3640.6558793967542	4369.066648770964	5041.2307692307695	5461.333333333333
126.0	2456.701503731577	3293.059746643126	4048.2966336412155	4656.730102716429	5070.45329189786	2708.73441850654	3640.6540153809447	4369.066648627798	5041.2307692307695	5461.333333333333
127.0	2454.7773378334614	3290.8531215820253	4046.488098612104	4655.060703306652	5069.276881072021	2708.5610595037556	3640.6521513660887	4369.066648484632	5041.2307692307695	5461.333333333333
128.0	2452.856217391073	3288.6525558634116	4044.685671340727	4653.399864881478	5068.1067119660975	2708.387711595947	3640.6502873521877	4369.066648341467	5041.2307692307695	5461.333333333333
129.0	2450.9381373550223	3286.4580307675346	4042.889326719818	4651.747527252134	5066.942737080173	2708.2143747824052	3640.6484233392403	4369.066648198302	5041.2307692307695	5461.333333333333
130.0	2449.023092684308	3284.269527633194	4041.0990397490623	4650.103630692056	5065.7849093239665	2708.0410490624195	3640.646559327248	4369.066648055135	5041.2307692307695	5461.333333333333
131.0	2447.111078346306	3282.0870278575535	4039.3147855346347	4648.46811593324	5064.633182013121	2707.8677344352795	3640.64469531621	4369.06664791197	5041.2307692307695	5461.333333333333
