L	b2	b3	b4	u2	u3	u4
543.0	4.75140104079878e-7	28.311851614250546	811.9557679628609	1.9349488281760545e-6	104.52686457770717	3433.7820288061394
544.0	4.5553593474650425e-7	28.07457310321651	810.5735083343175	1.857550875049012e-6	103.69064966108552	3428.287977560049
545.0	4.3674062884509825e-7	27.83928319725732	809.1936021516453	1.7832488400470515e-6	102.86112446379684	3422.802716795953
546.0	4.187208128600345e-7	27.605965230092817	807.8160453992095	1.7119188864451694e-6	102.03823546808646	3417.3262324490793
547.0	4.014444902591201e-7	27.37460267512107	806.4408340684673	1.6434421309873625e-6	101.22192958434177	3411.8585104771605
548.0	3.8488098467958127e-7	27.145179144247816	805.0679641579486	1.577704445747868e-6	100.41215414766704	3406.399536860397
549.0	3.6900088545818264e-7	26.917678386725573	803.6974316732371	1.5145962679179533e-6	99.60885691448568	3400.9492976014203
550.0	3.537759954087606e-7	26.6920842880026	802.3292326269519	1.4540124172012351e-6	98.8119860591698	3395.507778725258
551.0	3.391792807544442e-7	26.468380868581445	800.9633630387284	1.3958519205131856e-6	98.02149017069645	3390.0749662792973
552.0	3.251848231256598e-7	26.24655228288705	799.5998189352005	1.3400178436926581e-6	97.23731824933088	3384.6508463332502
553.0	3.1176777353868803e-7	26.02658281814438	798.2385963499825	1.2864171299449517e-6	96.45941970333622	3379.235404979117
554.0	2.9890430827305374e-7	25.808456893265454	796.8796913236508	1.2349604447471537e-6	95.68774434570953	3373.82862833115
555.0	2.8657158656940486e-7	25.59215905774565	795.5230999037263	1.1855620269572675e-6	94.92224239094385	3368.43050252582
556.0	2.747477100727669e-7	25.377673990569345	794.1688181446574	1.1381395458789766e-6	94.16286445181633	3363.0410137217787
557.0	2.634116839491592e-7	25.164986499124648	792.816842107802	1.0926139640438176e-6	93.40956153620179	3357.660148099824
558.0	2.525433796065303e-7	24.95408151812727	791.4671678614111	1.0489094054820648e-6	92.66228504391216	3352.287891862864
559.0	2.4212349895381954e-7	24.74494410855343	790.1197914806108	1.0069530292627823e-6	91.92098676356086	3346.924231235883
560.0	2.3213354013468007e-7	24.53755945658165	788.7747090473868	9.66674908092271e-7	91.1856188694524	3341.5691524659055
561.0	2.225557646750217e-7	24.331912872543455	787.4319166505667	9.280079117685801e-7	90.45613391849675	3336.2226418219598
562.0	2.133731659860377e-7	24.12798978988287	786.091410385804	8.908875952978368e-7	89.73248484714878	3330.8846855950446
563.0	2.045694391667896e-7	23.925775764124623	784.7531863555625	8.552520914859233e-7	89.01462496837159	3325.5552700980925
564.0	1.961289520527302e-7	23.725256471850983	783.4172406690986	8.210420078264863e-7	88.30250796862462	3320.2343816659354
565.0	1.8803671745875771e-7	23.526417709687227	782.0835694424469	7.882003275134268e-7	87.59608790487563	3314.92200665527
566.0	1.802783665675151e-7	23.329245393295547	780.7521687984032	7.566723144128897e-7	86.89531920163661	3309.618131444621
567.0	1.7284012341568163e-7	23.133725556377403	779.4230348665094	7.264054218363741e-7	86.20015664802354	3304.3227424343095
568.0	1.6570878043295455e-7	22.939844349684293	778.0961637830385	6.973492049629192e-7	85.51055539483934	3299.0358260464145
569.0	1.588716749902863e-7	22.747588040036714	776.771551690978	6.694552367644024e-7	84.82647095168062	3293.75736872474
570.0	1.5231666691573595e-7	22.556943009351443	775.449194740015	6.426770272938262e-7	84.14785918406717	3288.48735693478
571.0	1.4603211693801153e-7	22.36789575367691	774.129089086522	6.169699462020732e-7	83.47467631059463	3283.2257771636846
572.0	1.4000686601942663e-7	22.180432882236687	772.8112308935412	5.922911483539902e-7	82.80687890010988	3277.9726159202223
573.0	1.3423021554157435e-7	21.994541116480946	771.4956163307689	5.685995024198305e-7	82.144423868909	3272.72785973475
574.0	1.2869190830853578e-7	21.810207289145936	770.1822415745424	5.458555223230373e-7	81.48726847795773	3267.491495159174
575.0	1.2338211033389167e-7	21.627418343321306	768.8711028078238	5.240213014301158e-7	80.83537033013407	3262.2635087669196
576.0	1.1829139337919743e-7	21.446161331525207	767.5621962201866	5.030604493729111e-7	80.18868736749299	3257.0438871528922
577.0	1.1341071821291709e-7	21.26642341478723	766.2555180078006	4.829380313979947e-7	79.54717786855305	3251.8326169334473
578.0	1.0873141856008924e-7	21.08819186173896	764.9510643734178	4.636205101420749e-7	78.91080044560462	3246.6296847463536
579.0	1.042451857142262e-7	20.91145404771217	763.6488315263587	4.450756897363919e-7	78.27951404203978	3241.4350772507596
580.0	9.994405378412265e-8	20.736197453844593	762.3488156824975	4.272726621469362e-7	77.65327792970346	3236.248781127158
581.0	9.582038554937738e-8	20.562409666193165	761.0510130642489	4.101817556610587e-7	77.03205170626583	3231.0707830773545
582.0	9.186685889951295e-8	20.39007837485472	759.7554199005532	3.937744854346164e-7	76.41579529261571	3225.9010698244306
583.0	8.807645383261413e-8	20.21919137309403	758.4620324268636	3.780235060172317e-7	75.80446893027478	3220.739628112711
584.0	8.444243999039936e-8	20.049736556479164	757.1708468851319	3.6290256577654243e-7	75.19803317883259	3215.5864447077306
585.0	8.095836470759237e-8	19.88170192202412	755.8818595237954	3.483864631454807e-7	74.59644891340193	3210.4415063961983
586.0	7.761804155437386e-8	19.715075567338584	754.5950665977628	3.344510046196615e-7	73.99967732209471	3205.304799985964
587.0	7.441553935156889e-8	19.549845689784863	753.3104643684012	3.21072964434875e-7	73.40767990351794	3200.1763123059864
588.0	7.134517163906522e-8	19.386000585641888	752.0280491035229	3.0823004585748e-7	72.8204184642898	3195.056030206297
589.0	6.840148657876199e-8	19.223528649276172	750.7478170773722	2.959008440231808e-7	72.23785511657549	3189.9439405579665
590.0	6.557925727412071e-8	19.062418372319772	749.4697645706117	2.840648102622535e-7	71.65995227564288	3184.8400302530736
591.0	6.287347248912893e-8	18.90265834285511	748.1938878703098	2.7270221785176336e-7	71.08667265743775	3179.7442862046687
592.0	6.02793277501976e-8	18.74423724460662	746.9201832699279	2.6179412913769284e-7	70.51797927617824	3174.656695346741
593.0	5.77922168151919e-8	18.587143856139214	745.6486470693071	2.5132236397218513e-7	69.9538354419688	3169.577244634186
594.0	5.5407723494447916e-8	18.431367050063404	744.3792755746553	2.412694694132977e-7	69.39420475843306	3164.505921042771
595.0	5.31216138092522e-8	18.276895792247135	743.1120650985348	2.316186906367658e-7	68.8390511203656	3159.442711569103
596.0	5.09298284738607e-8	18.12371914103419	741.8470119598497	2.2235394301129514e-7	68.28833871140267	3154.387603230592
597.0	4.882847568770777e-8	17.971826246469178	740.5841124838332	2.1345978529084334e-7	67.74203200171145	3149.340583065423
598.0	4.6813824225006945e-8	17.82120634952898	739.3233630020346	2.049213938792096e-7	67.20009574569775	3144.301638132518
599.0	4.488229680947322e-8	17.671848781360666	738.064759852308	1.967245381240412e-7	66.66249497973217	3139.2707555115057
600.0	4.3030463762402684e-8	17.523742962525798	736.8082993787984	1.8885555659907955e-7	66.12919501989431	3134.247922302687
601.0	4.12550369128309e-8	17.376878402251034	735.553977931931	1.8130133433511637e-7	65.60016145973516	3129.2331256270027
602.0	3.955286375895679e-8	17.231244697685053	734.3017918683976	1.740492809617117e-7	65.07536016805727	3124.2263526259994
603.0	3.792092187046468e-8	17.08683153316169	733.0517375511454	1.670873097232432e-7	64.55475728671281	3119.2275904617977
604.0	3.6356313521805385e-8	16.94362867946923	731.803811349364	1.6040381733431348e-7	64.03831922841911	3114.236826317059
605.0	3.485626054690668e-8	16.801625993125874	730.5580096384746	1.5398766464094095e-7	63.52601267459176	3109.254047394951
606.0	3.341809940617739e-8	16.660813415661213	729.3143288001168	1.478281580553033e-7	63.01780457319503	3104.2792409191193
607.0	3.2039276457045567e-8	16.52118097290377	728.0727652221368	1.4191503173309115e-7	62.51366213660947	3099.3123941336485
608.0	3.0717343419633294e-8	16.38271877427451	726.833315298576	1.362384304637675e-7	62.01355283951659	3094.3534943030345
609.0	2.9449953029516594e-8	16.245417012086246	725.5959754296597	1.307888932452168e-7	61.51744441680046	3089.4025287121494
